id,definition
ascending branch of meningeal branch of left third lumbar nerve,
left substantia innominata,
anterior ramus of right coccygeal nerve,
anterior rootlet of left eighth cervical nerve,
nerve to left tensor fasciae latae,
prececal lymphatic vessel,
satisfactory drainage from catheter,
ulnar nerve component of trunk proper of anterior ramus of left eighth cervical nerve,
inferior left gastric lymph node,
external surface of fundus of stomach,
round,"BI-RADS 5: Sphereical, ball-shaped, circular, or globular"
subpyloric lymphatic chain,
dorsal tributary of first lumbar vein,
Rosenberg view,
anterversion measurement,
lumen of left ureter proper,
RID12987,
left posterior cerebral artery,
left posterior nucleus of hypothalamus,
main en lorgnette deformity,"Proximal phalangeal compression and metacarpophalangeal dislocation cause telescoping of the fingers, resembling opera glasses. Suggests rheumatoid arthritis or arthritis mutilans."
ankle retinacula,
segment of C7 root of radial nerve,
intra-salivery duct,
l2 segment,
spinal branch of left second lumbar artery,
urinary bladder,Organ with organ cavity which is continuous proximally with the right and left ureters and distally with the urethra. Examples: There is only one urinary bladder.
external granular layer of Brodmann area 52,
pericardial sac surface,
posterior ileocolic lymphatic vessel,
segment of median nerve nucleus of ventral column,
thoracodorsal nerve component of anterior root of sixth cervical nerve,
brodmann area 45 of left insula,
head of left semitendinosus,
gastric ulcer,
left arcuate nucleus of hypothalamus,
tendon of fourth palmar interosseous of right hand,
canine fossa of maxilla,
right fourth anterior cervical intertransversarius,
orbicularis oris muscle,
incorrect accession number,
radial nerve component of trunk of anterior ramus of right sixth cervical nerve,
left thyrocervical artery,
fibroelastic membrane of larynx,
central segment of third sacral spinal nerve,
tendon of left auricularis superior,
cervical segment of pia mater,
gray matter of middle occipital gyrus,
longitudinal muscle layer of sigmoid colon,
diaphysis of proximal phalanx of left thumb,
multiform layer of left primary motor cortex,
tendon of left longus colli,
mesothelium of visceral peritoneum of lesser sac,
segment of medulla oblongata,
anterior rootlet of fifth thoracic nerve,
preganglionic segment of posterior root of third sacral spinal nerve,
parenchyma of anterior inferior renal segment,
neural tissue of T5 segment of spinal cord,
low grade prostatic intraepithelial neoplasia,"Prostatic intraepithelial neoplasia characterized by the proliferation of secretory cells with irregular spacing in the ducts and acini. Although some proliferating epithelial cells may contain prominent nucleoli, the cytologic atypia and architectural growth patterns that are seen in the high grade prostatic intraepithelial neoplasia are absent. The presence of low grade prostatic intraepithelial neoplasia in needle biopsy is not a risk factor for the subsequent detection of carcinoma on repeat biopsy."
nerve to ninth thoracic rotator,
superior recess of tympanic membrane,
trunk of upper branch of right internal laryngeal nerve to epiglottic vallecula,
right suprascapular vein,
lumbar rotator,
right anterior amygdaloid area,
t4 branch to right splenius cervicis,
set of right gastro-epiploic lymphatic vessels,
retrolenticular part of left internal capsule,
trunk of left inferior rectal branch to anal canal,
nerve to third dorsal interosseous of left foot,
1 view,
rootlet of left fourth cervical nerve,
tendinous insertion of diaphragm,
quantitation,
sulcal segment of right inferior occipital lobe,
juxta-arterial mesenteric lymph node group,
gray matter of right dentate gyrus,
renal papilla of left kidney,
proximal myotendinous region of lateral head of right gastrocnemius,
annular ligament of stapes,
neural tissue of C3 segment of spinal cord,
neuronal component of gray matter of T7 segment,
ascending branch of meningeal branch of second sacral nerve,
right eighth thoracic rotator,
t4 branch to left longissimus cervicis,
genu of internal capsule,
ulnar nerve component of trunk of anterior ramus of first thoracic nerve,
superior segment of lower lobe of right lung,
axillary nerve branch of posterior division of anterior ramus of left sixth cervical nerve,
subserosa of segment of large intestine,
dorsal segment of left uncinate fasciculus,
adductor magnus branch of posterior branch of right obturator nerve,
posteroanterior tangential projection,
rootlet of first cervical nerve,
multicystic dysplasia,
external granular layer of right Brodmann area 22,
RID12998,
left seminal vesicle,
Judd view,
musculocutaneous nerve component of trunk proper of anterior ramus of left seventh cervical nerve,
dorsal nail matrix of left big toe,
deep breaths,
urinary diversion,"Temporary or permanent diversion of the flow of urine through the ureter away from the bladder in the presence of a bladder disease or after cystectomy. There is a variety of techniques: direct anastomosis of ureter and bowel, cutaneous ureterostomy, ileal, jejunal or colon conduit, ureterosigmoidostomy, etc. (From Campbell's Urology, 6th ed, p2654) [MeSH]"
posterior rootlet of right sixth cervical nerve,
uncal herniation,
uterine tube proper,
paracolic lymph node group of sigmoid colon,
branch of left musculocutaneous nerve to left brachialis,
nucleus of cranial nerve,
segment of pretectal region,
neural network of right auriculotemporal part of head,
brodmann area 39 of right inferior parietal lobule,
lobe of transition zone of prostate,
medial nucleus of solitary tract,
extrahepatic branch of portal vein,
nephrectomy,"Excision of a kidney. (Dorland, 28th ed) [MeSH]"
right anterior conjunctival artery,
superior fascia of pelvic diaphragm,
internal surface of subdivision of stomach,
communicating branch of second intercostal nerve,
zone of middle cerebral artery,
tendon of extensor digitorum brevis to second toe,
gray matter of limen of left insula,
distal zone of right biceps femoris,
ethmoidal bulla,
RID7790,
trunk of branch of right mandibular nerve to medial pterygoid,
right dorsal carpal branch of ulnar artery,
ulnar sulcus of humerus,
trunk of sartorius branch of femoral nerve,
l3 segment of left dorsal gray column of spinal cord,
lingula gyrus (lG),
left tibialis anterior,
gyrus of brain,Segment of cerebral hemisphere which has as its direct proper parts cortical gray matter bounded by sulcal and surface fiat anatomical boundaries.
mucosa of region of urinary bladder,
prostatic sinus,
distal lateral striate branch of right middle cerebral artery,
perforating branch of left posterior interosseous artery,
branch of left medial superior cerebellar artery to middle cerebellum,
gray communicating ramus of left third intercostal nerve,
tendon of first dorsal interosseous of left hand,
peripheral segment of right trigeminal nerve,
trunk of branch of trigeminal nerve,
t7 branch to right spinalis thoracis,
alveus of hippocampus,
nerve to third palmar interosseous of hand,
t1 root of left medial antebrachial cutaneous nerve,
nerve to inferior belly of left omohyoid,
lower extremity vein,
branch of sphenopalatine artery,
middle muscle layer,
thoracodorsal nerve component of trunk proper of anterior ramus of right sixth cervical nerve,
medial olfactory gyrus,
nerve to femoral artery,
anterior cervical intertransversarius,
short,
t3 segment of right gracile fasciculus of spinal cord,
occipital branch of posterior auricular artery,
left superior epigastric artery,
left ventral paramedian reticular nucleus,
anterior ramus of left second sacral nerve,
brodmann area 31 of anterior segment of left paracentral lobule,
medial branch of posterior ramus of left fourth cervical nerve,
gray matter of right lateral occipital gyrus,
dura mater of root of spinal nerve,
longitudinal muscle layer of colon,
internal surface of posterior wall of body of stomach,
distal zone of right deltoid,
halo sign of duodenum,Contrast-filled sac surrounded by lucent halo in duodenum on upper GI series. Suggests intraluminal duodenal diverticulum.
right ventral posteromedial nucleus,
Seymour fracture,juxta-epiphyseal fracture of the distal phalanx of the finger
disease origin descriptor,
gray matter of right gracile lobule,
right posterior long insular gyrus,
medial antebrachial cutaneous nerve component of posterior root of eighth cervical nerve,
meningeal branch of right hypoglossal nerve to anterior wall of cranial fossa,
external nasal branch of left infraorbital nerve,
thoracic segment of gracile fasciculus of spinal cord,
medial branch of posterior ramus of right third cervical nerve,
neural network of nose,
teardrop fracture,avulsion of anterioinferior corner of cervical vertebral body by anterior ligament
brodmann area 40 of superior parietal lobule,
precaecocolic fascia,
inferior hypogastric nerve plexus,
internal granular layer of left Brodmann area 51,
pubococcygeus,
terminal superficial branch of right supra-orbital artery,
middle colic vein,
head of left semimembranosus,
lateral branch of dorsal branch of right third lumbar artery,
gray matter of posterior part of middle frontal gyrus,
t5 segment,
left accessory cuneate nucleus of spinal cord,
communicating branch of sensory root of left facial nerve with left tympanic plexus,
acromial end of left clavicle,
dura mater of anterior rootlet of right fourth sacral nerve,
t8 segment of left dorsal thoracic nucleus,
nutrient branch of right deep brachial artery,
nail plate of fingernail,
vertebral segment of lateral corticospinal tract,
set of common plantar digital nerves,
branch of posterior muscular branch of left radial nerve to lateral head of left triceps brachii,
submandibular fossa of mandible,
medial head of fourth dorsal interosseous of hand,
shunt detection,
root of obturator nerve,
monoarticular,
temporal surface of zygomatic bone,
parallels blood pool enhancement,[LIRADS] Temporal enhancement pattern in which enhancement in all phases approximates that of the blood pool.
trunk of communicating branch of sensory root of left facial nerve with left vagus nerve,
chest wall invasion,BI-RADS MRI: Abnormal enhancement extending into the ribs or intercostal spaces (behind the pectoralis muscle).
mucosa-associated lymphoid tissue,
inferior surface of petrous part of temporal bone,
trunk of vascular branch of right femoral nerve,
thoracic subsegment of dorsal gray column of spinal cord,
epiphysis of third metatarsal bone,
intraconal space of orbit,
C5,
root of right fifth cervical nerve,
posterior surface of subdivision of duodenum,
lateral proper palmar digital branch of ulnar nerve to little finger,
brodmann area 6 of ventral part of left precentral gyrus,
right anterior renal fascia,
trunk of communicating branch of cervical branch of facial nerve with transverse cutaneous cervical nerve,
communicating branch of internal laryngeal nerve with recurrent laryngeal nerve,
polar part of of lateral occipital gyrus,
central part of cuneate nucleus,
syndromic,
proximal end of femur,
gray matter of left frontomarginal gyrus,
ligament of intervertebral syndesmosis,
serosa of isthmus of left uterine tube,
external granular layer of left Brodmann area 18,
sigmoid colon lymph node group,
silicone synovitis,
hilus of dentate gyrus,
c5 root of left subclavian nerve,
proximal lateral striate branch of right middle cerebral artery,
cubital tunnel bursa,
right lower lobe posterior segment artery,
persistent delayed phase,BI-RADS MRI: continued >10% increase of signal over time
vasculature of right transition lobe of prostate,
t4 segment of right dorsal gray column of spinal cord,
lymphangiectasis,A transient dilatation of the lymphatic vessels. [MeSH]
Gadolinium oxide,
t6 branch to spinalis capitis,
RID12904,
iron,"A metallic element found in certain minerals, in nearly all soils, and in mineral waters. It has the atomic symbol Fe, atomic number 26, and atomic weight 55.85. It is an essential constituent of hemoglobin, cytochrome, and other components of respiratory enzyme systems. Its chief functions are in the transport of oxygen to tissue (hemoglobin) and in cellular oxidation mechanisms. Depletion of iron stores may result in iron-deficiency anemia. Iron is used to build up the blood in anemia. (From Dorland, 27th ed) [MeSH]"
segment of pulvinar,
muscle organ component,
peritoneum over superior pole of left kidney,
distribution pattern,BI-RADS MRI: Non-mass enhancement (NME):  modifiers describing enhancement patterns with a specific MRI pattern.
left dorsal external arcuate tract,
surface of teres minor,
ascending pharyngeal artery,
t12 segment of right dorsal thoracic nucleus,
Manganese chloride,
cortical amygdaloid nucleus,
cell,
juxta-intestinal lymphatic chain,
nerve to extensor carpi radialis longus,
subthalamic fasciculus,
solitary lymphoid follicle of ascending colon,
back of trunk,"Subdivision of trunk which is demarcated from the trunk proper by the external surface of the posterolateral part of the rib cage, the anterior surface of the thoracic vertebral column and the posterior axillary lines, the external surface of the posterior abdominal wall; together with the trunk proper, it constitutes the trunk. Examples: There is only one trunk proper."
surface of acromion,
fascial sheath of globe,
medial branch of posterior ramus of second sacral nerve,
low attenuation,
suprachoroid lamina of globe,
c3 segment of lateral corticospinal tract,
proper hepatic artery,
peripheral segment of right second cervical spinal nerve,
nerve to tenth levator costae,
branch of left anterior choroidal artery to left optic chiasm,
posterior area of attachment of patellar ligament,
nerve to left gluteus maximus (1),
trunk of communicating branch to left posterior labial nerve,
3 or more views,
trunk of left stapedius nerve,
RID12861,
superior vestibular area of internal auditory canal,
gray matter of left hemisphere of cerebellum,
neuroglial network of T1 segment of spinal cord,
superior intercostal artery,
gangliocytoma,"A benign neoplasm that usually arises from the sympathetic trunk in the mediastinum. Histologic features include spindle cell proliferation (resembling a neurofibroma) and the presence of large ganglion cells. The tumor may present clinically with horner syndrome or diarrhea due to ectopic production of vasoactive intestinal peptide. (From DeVita et al., Cancer: Principles and Practice of Oncology, 5th ed, p966) [MeSH]"
trunk of medial antebrachial cutaneous nerve,
left lesser splanchnic nerve,
axial projection,
medial surface of scalenus medius,
lateral branch of anterior cutaneous branch of right tenth intercostal nerve,
mesothelium of serosa of appendix,
dorsal supraoptic decussation,
nucleus of neuraxis,"Internal gray matter component of neuraxis which consists of a discrete aggregate of neuronal soma. Example:  dentate nucleus, red nucleus."
chronic,
submucosa of sigmoid colon,
disorder caused by drugs or toxins,
lumen of intestine,
splenius,
cutaneous branch of lateral branch of posterior ramus of right sixth thoracic nerve,
set of regions of back,
anterior diaphragmatic branch of left phrenic nerve,
malignant,
trunk of medial proper plantar digital nerve of fourth toe,
neuronal intestinal dysplasia,
over-the-wire deployment,
inferior rectal artery,
right longus colli,
cutaneous branch of lateral branch of posterior ramus of left second thoracic nerve,
set of superior alveolar nerves,
plexiform layer of right Brodmann area 33,
preganglionic segment of posterior root of lumbar spinal nerve,
dura mater of anterior rootlet of right eleventh thoracic nerve,
end expiration,
hepatic vein,Veins which drain the liver. [MeSH]
vertical-banded gastroplasty,
transverse band of elbow joint,
synthetic graft,
nerve to left second posterior cervical intertransversarius,
posterior root of right fifth sacral nerve,
enhancing internal septation,BI-RADS MRI: enhancing lines within a mass
lateral part of tendon of left quadriceps femoris,
proximal region of muscle body of vastus left lateralis,
left infraglenoid tubercle,
Deuel halo sign,Abnormally thick soft-tissue density between cranial vault and subcutaneous fat of scalp on a radiograph. Indicates fetal demise.
lateral root trunk proper of left median nerve,
set of abdominal lymphatic vessels,
not applicable,
flexor carpi ulnaris muscle tendon,
supracalcarine cortex,
communicating branch of right phrenic nerve to internal thoracic plexus,
frontoparietal brain region,
anterior segment of left paracentral lobule,
visceral peritoneum,
transverse ligament of knee joint,
c6 branch to left iliocostalis cervicis,
precuneal branch of right pericallosal artery,
diaphragmatic surface of liver,
septal lines,thin linear pulmonary opacities caused by fluid or cellular infiltration into the interstitium of the lungs
set of tangential fibers of isocortex,
trunk of biceps femoris branch of right sciatic nerve,
communicating branch of left external laryngeal nerve with left superior cardiac nerve,
t1 root of left medial pectoral nerve,
external laryngeal nerve,
mylopharyngeal part of superior constrictor muscle,
skin of right big toe,
branch of long thoracic nerve to serratus anterior (2),
distal zone of left vastus lateralis,
plantar surface of foot,
stria vascularis of cochlear duct,
high-risk,
adrenal surgery,
corticopontine fiber,
branch of right anterior choroidal artery to genu of right internal capsule,
subdivision of cervicothoracic-brachial compartment space,
trunk of branch of coccygeal nerve,
anterior root of left coccygeal nerve,
set of corticonuclear fibers,
nonglandular part of segment of transition zone of prostate,
zone of thyroid gland,
diamond needle tip,
skin of lateral part of foot,
epithelium of prostatic urethra,
pulp cavity of tooth,
nerve to right eleventh levator costae,
angiography,Radiography of blood vessels after injection of a contrast medium. [MeSH]
cavity of uterus,
peripheral segment of sixth cervical spinal nerve,
trunk of left thoracodorsal nerve,
dorsum of tongue,
upper branch of left internal laryngeal nerve to epiglottic vallecula,
second lumbrical of left hand,
tendon of left flexor digitorum longus,
external surface of ureter,
root of left first cervical nerve,
epiphysis of right tibia,
Sinding-Larsen-Johansson disease,Osteonecrosis of the Inferior patella
trunk of digastric branch of facial nerve,
medial root trunk proper segment of C8 root of left median nerve,
whiskering effect,"Thin spicules of bone, resembling whiskers, at the site of muscular attachment or stress; most often seen in ischial tuberosity, iliac margin, and calcaneus. Suggests ankylosing spondylitis."
right subcentral gyrus,
T6,
branch of celiac nerve plexus to hepatic nerve plexus,
nerve to fourth internal intercostal muscle,
left cardial lymph node,
superficial perineal space,
dentate gyrus of left hippocampus,
white matter of midbrain tectum,
set of neuraxis fibers,
meningeal branch of left first lumbar nerve,
long thoracic nerve component of anterior root of sixth cervical nerve,
nuclear detector geometry type,
nephroureteral stent removal,
chondroblastoma,"A usually benign tumor composed of cells which arise from chondroblasts or their precursors and which tend to differentiate into cartilage cells. It occurs primarily in the epiphyses of adolescents. It is relatively rare and represents less than 2% of all primary bone tumors. The peak incidence is in the second decade of life; it is about twice as common in males as in females. (From Dorland, 27th ed; Holland et al., Cancer Medicine, 3d ed, p1846) [MeSH]"
nucleus of origin of right tenth thoracic spinal nerve,
cortex of right insula,
polar part of left middle frontal gyrus,
brodmann area 49 of right parahippocampal gyrus,
nerve network of glandular part of prostate,
anterior root of left second lumbar nerve,
crypt of Lieberkuhn of small intestine,
lateral facet of trochlea of left femur,
right lower lobe superior segment artery,
tendon of seventh interspinalis cervicis,
edema,"Abnormal fluid accumulation in tissues or body cavities. Most cases of edema are present under the skin in subcutaneous tissue. [MeSH]
[BI-RADS MRI:  Trabecular thickening with associated skin thickening.  US:  Increased echogenicity of surrounding tissue and reticulation (angular network of hypoechoic lines)."
posterior radicular branch of spinal branch of left fourth lumbar artery,
nerve to medial rectus,
trunk of left sixth intercostal nerve,
sialadenitis,"inflammation of salivary tissue (salivary glands), usually due to infection or injuries. [MeSH]"
superficial white layer of right superior colliculus,
anterior part of right superior frontal gyrus,
muscle layer of esophagus,
gamma camera,Electronic instruments that produce photographs or cathode-ray tube images of the gamma-ray emissions from organs containing radionuclide tracers. [MeSH]
interfascicular nucleus of left hypoglossal nerve,
pelvic lymph node group,
nucleus of origin of left sixth thoracic spinal nerve,
Brodie abscess,
branch of vestibular nerve,
left first thoracic spinal ganglion,
brodmann area 47 of left paraterminal gyrus,
interlobar renal vein,
tributary of superior petrosal sinus,
dura mater of posterior rootlet of second sacral nerve,
external surface of isthmus of uterus,
renal corpuscle of short-looped nephron,
set of proper palmar digital nerves,
l2 root of left genitofemoral nerve,
zone of deltoid,
wall of ureter,
branch of left auriculotemporal nerve to left temporalis,
external pyramidal layer of left Brodmann area 39,
distal tendon of right rectus femoris,
brodmann area 19 of right occipital lobe,
set of posterior divisions of brachial plexus,
assess treatment response,
coracohumeral ligament,
second part of subclavian artery proper,
trunk of right tenth intercostal nerve,
duodenojejunal junction,
superior thyroid vein,
posterior radicular branch of spinal branch of right third lumbar artery,
preganglionic segment of posterior root of right ninth thoracic spinal nerve,
orthopedic device problem,
medial segment of left lobe of liver,
right Brodmann area 14,
set of autonomic nerves,
left superior transverse scapular ligament,
proximal metaphysis of distal phalanx of right thumb,
chordae tendineae,"The tendinous cords that connect each cusp of the two atrioventricular heart valves to appropriate papillary muscles in the heart ventricles, preventing the valves from reversing themselves when the ventricles contract. [MeSH]"
tendon of right second interspinalis lumborum,
bell-shaped ureter sign,Segment of ureter is dilated and shaped like a bell with convex margin inferiorly. Suggests antegrade intussusception due to polypoid tumor.
muscle body of right anconeus,
holoprosencephaly sequence,
ModalityDown,
posterior root of left first sacral nerve,
distal epiphysis of right fourth metatarsal bone,
cupola sign,An arcuate lucency overlying the lower thoracic spine and inferior to the heart on supine radiography suggesting air in the median subphrenic space.
internal granular layer of left Brodmann area 16,
choroid plexus of cerebral hemisphere,
lateral plantar artery,
acromion,The lateral extension of the spine of the scapula and the highest point of the shoulder. [MeSH]
portion of tissue,"Anatomical structure which has as its parts cells of predominantly one type with or without intercellular matrix. Examples: epithelium, muscle tissue, connective tissue, neural tissue, lymphoid tissue."
longitudinal muscle layer of appendix,
median nerve component of trunk of right seventh cervical nerve,
zipper in phase direction at non-zero frequency,Caused by extraneous radio noise detected by the scanner. Produces a streak in the phase encoding direction at the frequency of the radio noise.
bronchography,
organ component of neuraxis,Organ component which is part of the brain or spinal cord.
lateral pectoral nerve component of anterior root of left sixth cervical nerve,
measurement type,
calcaneocuboid part of bifurcated ligament,
free margin of epiglottis,
area of insertion of left vastus lateralis,
internal granular layer of right Brodmann area 45,
set of coeliac ganglia,
plexiform layer of Brodmann area 40,
RID28960,
B6 bronchus sign,"Air-filled bronchus supplying the superior segment of the lower lobe (B6) is seen en face on a frontal chest radiograph as a lucent dot. Indicates little to no air in the surrounding lung parenchyma, due to atelectasis, pneumonia, or abcess."
dura mater of posterior rootlet of left fifth sacral nerve,
hyperinflated,
distal tendon of left rhomboid major,
paleocortex,
palmar ligament of left third carpometacarpal joint,
left medial division of liver,
region of wall of third ventricle,
lateral brachial vein,
membrane organ,"Nonparenchymatous organ that primarily consists of dense connective tissue organized into a sheet which interconnects two or more organs, separates two or more body spaces from one another, or surrounds an organ or body part. Examples: interosseous membrane of forearm, obturator membrane, tympanic membrane, fibrous pericardium, fascia lata, dura mater."
intrarenal segment of left renal artery,
foreign body retrieval,
branch of celiac nerve plexus to intermesenteric nerve plexus,
distal zone of left pectoralis minor,
mass enhancement pattern,
endometrial cancer,
median nerve component of anterior root of right eighth cervical nerve,
lamina of Brodmann area 45,
segment of Brodmann area 1,
subclavian branch of cervicothoracic ganglion,
dura mater of anterior rootlet of left seventh thoracic nerve,
molar pregnancy,
left third sacral ganglion,
middle mediastinal segment of vagus nerve,
cholangioplasty,
circumflex iliac lymph node,
set of corticobulbar fibers,
peripheral segment of left thoracodorsal nerve,
Isovue,
lobule III of right hemisphere of cerebellum,
right side of pelvic wall,
right posterior labial nerve,
polar part of left middle temporal gyrus,
pineal parenchymal neoplasm,
subpyloric lymphatic vessel,
pericardial disease,
ureteropelvic junction,
medial cutaneous branch of medial branch of posterior ramus of left twelfth thoracic nerve,
submucosa of left hepatic duct,
canalicular segment of facial nerve,
right lobe of liver (classical),
right lateral inguinal fossa,
left ninth thoracic ganglion,
right male breast proper,
rigid loop sign,Segment of bowel with small amount of air in a curvilinear lumen on a frontal radiograph that remains fixed over time and changes in position. Suggests mesenteric venous occlusion.
abdominal orifice of uterine tube,
subdivision of body proper,
interstitial nucleus of midbrain tegmentum,
gracile lobule,
remodeling,
l4 segment of lateral corticospinal tract,
medial branch of lateral branch of palmar branch of median nerve,
head of left coracobrachialis,
epithelium of proximal convoluted tubule,
t2 segment of marginal zone of right dorsal gray column of spinal cord,
barium embolism,
muscular tributary of ventral tributary of right fourth lumbar vein,
sublenticular extended amygdala,
c5 segment of right nucleus proprius of spinal cord,
subdivision of thoracic cavity,
left rectus femoris,
cervical segment of left cuneate fasciculus of spinal cord,
articular branch of left ninth intercostal nerve,
interscalene triangle,
diaphysis of distal phalanx of right fourth toe,
brodmann area 7 of posterior segment of left paracentral lobule,
lumen of left hepatic duct,
lower outer quadrant of left female breast,
RID28844,
superior recess of lesser sac,
set of organ subdivisions of kidney,
subcortical nodular heterotopia,
set of lumbar splanchnic nerves,
t1 segment of dorsal funiculus of spinal cord,
quadratus plantae muscle,
lateral cutaneous branch of medial branch of posterior ramus of fourth thoracic nerve,
ring-around-the-artery sign,"A radiolucent ring around the right pulmonary artery on lateral chest x-ray, suggesting pneumomediastinum."
stripe sign of brain,Hyperintense periventricular regions contain hypointense linear radiations or dots on an axial T2-weighted MR image. Suggests metachromatic leukodystrophy.
deep thenar muscle,
left humerus,
superior subscapular nerve component of trunk of posterior division of anterior ramus of sixth cervical nerve,
hepatic fissure,
central segment of right fifth cervical spinal nerve,
retrograde flow,
internal surface of anterior wall of isthmus of uterus,
tendon of pronator teres,
parotid branch of right auriculotemporal nerve,
brodmann area 19 of left inferior occipital gyrus,
proximal tendon of left sartorius,
suprachiasmatic cistern,
deep dorsal vein of hand,
diaphysis of distal phalanx of left little toe,
neuroglial network of white matter of L4 segment,
right biceps femoris,
superior central nucleus,
nucleus proprius of thoracic segment of dorsal gray column of spinal cord,
brodmann area 8 of right medial frontal gyrus,
process,
ventral lateral nucleus,
anterior surface of pylorus,
right pterygoid artery,
surface proper of right iliacus,
S1/S2,
nerve to helicis major,
left supraoptic nucleus,
fascia of spine,
anterior zone of diaphysis of tibia,
technical success,"The disease was treated according to protocol and addressed completely, as determined at the time of the procedure.  reflects immediate results and is typically evaluated with completion of the treatment"
Imagopaque,
seventh cervical spinal ganglion,
hyperlipidemia,
surface of T10 segment,
t8 segment of left lateral gray column of spinal cord,
left medial inguinal fossa (space),
lunate fossa of radius,
nucleus proprius of spinal cord,
central segment of iliohypogastric nerve,
adductor magnus muscle,
mycotic aneurysm,
folium of vermis of cerebellum,
stapes,"One of the three ossicles of the middle ear. It transmits sound vibrations from the incus to the internal ear (Ear, Internal see labyrinth). [MeSH]"
trunk of scrotal branch of genital branch of right genitofemoral nerve,
l3 segment of left substantia gelatinosa,
medial pectoral nerve component of trunk of anterior division of anterior ramus of left eighth cervical nerve,
area of origin of right anterior meniscofemoral ligament,
wall of posterior intermediate minor calyx of left renal pelvis,
nerve to talcalcaneonavicular joint,
glenoidal rim of right scapula,
s1 segment of left ventral gray column of spinal cord,
watering can perineum,Sign of fisula formation secondary to periurethral abscess.
deep temporal nerve,
c5 branch to right longissimus cervicis,
sulcal segment of right paracentral lobule,
osteoma,"A benign tumor composed of bone tissue or a hard tumor of bonelike structure developing on a bone (homoplastic osteoma) or on other structures (heteroplastic osteoma). (From Dorland, 27th ed) [MeSH]"
proximal myotendinous region of short head of left biceps brachii,
anterior surface of tendon of long head of left triceps brachii,
dura mater of posterior root of right second lumbar nerve,
trunk of fourth sacral nerve,
proximal tendon of lateral head of gastrocnemius,
rootlet of seventh thoracic nerve,
internal opening of carotid canal,
adventitia of right renal pelvis,
articular branch of posterior ramus of right ninth thoracic nerve,
lateral surface of left cerebral hemisphere,
s1 segment of substantia gelatinosa,
peripheral segment of right obturator nerve,
intervertebral osteochondrosis,"Degenerative process of the spine involving the vertebral body end-plates, the nucleus pulposus,  and the anulus fibrosus, which is characterized by disc space narrowing, vacuum phenomenon, and vertebral body reactive changes.  Syn: deteriorated disc, chronic discopathy, osteochondrosis. AJNR"
branch of right anterior interosseous nerve to right flexor digitorum profundus,
lamina propria of body of stomach,
space of compartment of trunk,
t4 segment of right gracile fasciculus of spinal cord,
medial rectus muscle,
muscle body of left pectoralis major,
rectus capitus lateralis muscle,
peripheral segment of axillary nerve,
right posterior ciliary vein,
incisor tooth,"Any of the eight frontal teeth (four maxillary and four mandibular) having a sharp incisal edge for cutting food and a single root, which occurs in man both as a deciduous and a permanent tooth. (Jablonski, Dictionary of Dentistry, 1992, p820) [MeSH]"
distal tendon of left soleus,
RID9588,"composed of lacrimal bone, orbital plate of the ethmoid bone, and lesser wing of the sphenoid bone"
pararectal fossa,
sublingual fold,
DeBakey type II,
hypoglycemia,A syndrome of abnormally low blood glucose level. Clinical hypoglycemia has diverse etiologies. Severe hypoglycemia eventually lead to glucose deprivation of the central nervous system resulting in hunger; sweating; paresthesia; impaired mental function; seizures; coma; and even death. [MeSH]
left serratus anterior,
musculocutaneous nerve nucleus of left ventral column,
muscular branch of ventral branch of right first lumbar artery,
trunk of right oculomotor nerve,
peripheral segment of right ulnar nerve,
neural network of bony part of left fourth metacarpal bone,
central lobule proper,
ileal lymph node group,Mesenteric lymph node group located around branches of superior mesenteric artery to the ileum.
anterior inferior renal segment,Renal segment supplied by the anterior inferior segmental renal artery.
interlobular branch of right inferior segmental renal artery,
dura mater of anterior root of third cervical nerve,
surface of region of bone organ,
set of spinal nerve roots,
plexal point of anterior choroidal artery,
reflected tendon of right rectus femoris,
anterior division of temporal segment of fusiform gyrus,
right lower lobe bronchus,
fistula,"Abnormal communication most commonly seen between two internal organs, or between an internal organ and the surface of the body. [MeSH]"
area of insertion of right pectoralis minor,
open epiphysis,
paleodentate part of dentate nucleus,
articular surface of distal interphalangeal joint of finger,
posteromedian medullary vein,
trunk of branch of tibial nerve,
antimesenteric border of large intestine,
RID13067,
body of sternum,
neural tissue of L2 segment of spinal cord,
belly of first lumbrical of left foot,
external pyramidal layer of right Brodmann area 33,
second proper palmar digital nerve,
brodmann area 6 of left superior frontal gyrus,
subtendinous bursa of right trapezius,
cystourethrography chain,
Leonard George view,
dorsal nail matrix of right little toe,
anterior division of anterior ramus of right eighth cervical nerve,
cricopharyngeal myotomy,
tendon of right tensor fasciae latae,
lower esophageal muscular ring,
descending branch of meningeal branch of left fifth cervical nerve,
mesothelium of serosa of urinary bladder,
neurovascular bundle of region of cervicothoracic-brachial compartment,
c6 ventral column nucleus of left radial nerve,
anterior rootlet of left eighth thoracic nerve,
accessory pancreatic duct,"The accessory pancreatic duct is the smaller of the two pancreatic ducts. It usually drains into the main pancreatic duct, however in some cases it is found connected directly to the duodenum at the minor duodenal papilla. [MeSH]"
external pyramidal layer of right Brodmann area 1,
distal segment of C5 root of right median nerve,
neuroglial network of gray matter of S1 segment,
histiocytic or fibrohistiocytic neoplasm,
nerve to left flexor pollicis brevis,
lateral nail fold of right fourth toe,
second lateral obtuse marginal artery,
aspiration of solid foreign body,
muscle body of right abductor pollicis longus,
distal tendon of brachialis,
lateral part of chest,
