,id,parentId
11058,right area X,area X
11059,segment of C5 root of median nerve,segment of lateral root of median nerve
11060,transverse branch of meningeal branch of sixth cervical nerve,transverse branch of meningeal branch of cervical nerve
11061,set of gastric lymphatic vessels,set of abdominal lymphatic vessels
11062,RID6931,Obsolete Radlex Term
11063,proximal zone of vastus lateralis,zone of vastus lateralis
11064,medial branch of anterior cutaneous branch of left ninth intercostal nerve,medial branch of anterior cutaneous branch of ninth intercostal nerve
11065,cerebral cortex of right cerebral hemisphere,cerebral cortex
11066,brachioradialis muscle,superficial muscle of dorsal forearm
11067,fibrous capsule of thyroid gland,membranous layer
11068,posterior branch of lateral cutaneous branch of left seventh intercostal nerve,posterior branch of lateral cutaneous branch of seventh intercostal nerve
11069,lateral terminal branch of left deep fibular nerve,lateral terminal branch of deep fibular nerve
11070,internal granular layer of left Brodmann area 29,internal granular layer of Brodmann area 29
11071,left straight gyrus,straight gyrus
11072,tumor invasion of neurovascular bundle of prostate,tumor invasion of prostate adjacent structure
11073,posterior division of sacral plexus,subdivision of lumbosacral plexus
11074,set of intestinal lymphatic vessels,set of abdominal lymphatic vessels
11075,left musculocutaneous nerve,musculocutaneous nerve
11076,medial branch of anterior cutaneous branch of sixth intercostal nerve,medial branch of anterior cutaneous branch of intercostal nerve
11077,dorsolateral sulcus of spinal cord,subarachnoid sulcus
11078,thoracic nerve,spinal nerve
11079,trunk of right ninth thoracic nerve,trunk of ninth thoracic nerve
11080,liver parenchyma,parenchyma
11081,distal epiphysis of middle phalanx of left index finger,distal epiphysis of middle phalanx of index finger
11082,lateral medullary reticular complex,nuclear complex of neuraxis
11083,muscle body of right pectineus,muscle body of pectineus
11084,sulcal segment of left lingual gyrus,sulcal segment of lingual gyrus
11085,nodular lymphoid tissue,lymphoid tissue
11086,internal granular layer of left Brodmann area 7,internal granular layer of Brodmann area 7
11087,3-month follow-up procedure,follow-up procedure
11088,skin of medial part of left big toe,skin of medial part of big toe
11089,dura mater of posterior root of right second thoracic nerve,dura mater of posterior root of second thoracic nerve
11090,plexiform layer of left Brodmann area 36,plexiform layer of Brodmann area 36
11091,distal tendon of flexor carpi ulnaris,tendon of flexor carpi ulnaris
11092,gastric feeding tube exchange,tube exchange
11093,microscopic irregularities in magnetic field,magnetic field perturbation artifact
11094,root trunk of superior division of lateral root of left median nerve,root trunk of superior division of lateral root of median nerve
11095,target sign of extremity,imaging sign
11096,meningeal branch of right third cervical nerve,meningeal branch of third cervical nerve
11097,brodmann area 40 of right supramarginal gyrus,brodmann area 40 of supramarginal gyrus
11098,lateral rotation position,patient rotation position
11099,descending branch of meningeal branch of third cervical nerve,descending branch of meningeal branch of cervical nerve
11100,vasculature of white matter of subsegment of spinal cord,vasculature of organ part
11101,muscle body of right vastus lateralis,muscle body of vastus lateralis
11102,segment of cerebral lobe,segment of cerebral hemisphere
11103,posterior wall of zone of stomach,region of wall of stomach
11104,trunk of right superficial fibular nerve,trunk of superficial fibular nerve
11105,c1 branch to longus capitis,branch of anterior ramus of first cervical nerve
11106,corticomedullary organ,parenchymatous organ
11107,migrating staple sign,imaging sign
11108,left oculomotor nerve,oculomotor nerve
11109,thoracic subsegment of spinal cord,segment of spinal cord
11110,Iodine-131 iodocholesterol,I-131
11111,pes hippocampi,set of neuraxis structures
11112,anatomically-specified blood vessel,blood vessel
11113,external surface of fimbria of right uterine tube,external surface of fimbria of uterine tube
11114,c5 branch to right scalenus minimus,scalenus minimus branch of fifth cervical nerve
11115,superior posterior division segment of C6 root of left thoracodorsal nerve,superior posterior division segment of C6 root of thoracodorsal nerve
11116,mesothelium of serosa of spleen,mesothelium of region of visceral peritoneum
11117,preganglionic segment of posterior root of fourth sacral spinal nerve,preganglionic segment of posterior root of sacral spinal nerve
11118,right lateral decubitus position,decubitus position
11119,c1 branch to right rectus capitis lateralis,c1 branch to rectus capitis lateralis
11120,anterior surface of notch region of left scapula,anterior surface of notch region of scapula
11121,RID11516,Obsolete Radlex Term
11122,brodmann area 39 of left supramarginal gyrus,brodmann area 39 of supramarginal gyrus
11123,middle rectal artery,branch of anterior division of internal iliac artery
11124,radial fibers of ciliary muscle,set of ciliary muscle fibers
11125,external surface of pyloric canal,external surface of subdivision of stomach
11126,neural network of bony part of right second metacarpal bone,neural network of bony part of second metacarpal bone
11127,tendon of infraspinatus,tendon
11128,dorsal tributary of second lumbar vein,dorsal tributary of lumbar vein
11129,imaging without IV contrast,imaging procedure
11130,MCA dot sign,imaging sign
11131,impedance control endpoint,radiofrequency ablation endpoint determinant
11132,right side of flocculonodular lobe of cerebellum,segment of cerebellar lobe
11133,wall of pyloric canal,region of wall of stomach
11134,muscular branch of left ulnar artery,muscular branch of ulnar artery
11135,distal segment of C6 root of median nerve,segment of C6 root of median nerve
11136,multiform layer of right Brodmann area 34,multiform layer of Brodmann area 34
11137,set of hand vessels,set of upper extremity vessels
11138,right Brodmann area 27,Brodmann area 27
11139,internal surface of ampulla of right uterine tube,internal surface of ampulla of uterine tube
11140,left sublingual gland,sublingual gland
11141,preganglionic segment of posterior root of left fifth lumbar spinal nerve,preganglionic segment of posterior root of fifth lumbar spinal nerve
11142,head region of muscle body of spinal part of deltoid,head region of muscle body of part of deltoid
11143,nerve to right second internal intercostal muscle,nerve to second internal intercostal muscle
11144,right dorsal radiocarpal ligament,dorsal radiocarpal ligament
11145,posterior surface of body of uterus,posterior surface of zone of uterus
11146,gradient spoiling,spoiling of transverse magnetization
11147,segment of white matter of gyrus of parietal lobe,white matter of segment of gyrus
11148,lateral cutaneous tributary of ventral tributary of right third lumbar vein,lateral cutaneous tributary of ventral tributary of third lumbar vein
11149,bull's-eye falciform ligament sign,imaging sign
11150,medial antebrachial cutaneous nerve component of trunk proper of anterior ramus of right eighth cervical nerve,medial antebrachial cutaneous nerve component of trunk proper of anterior ramus of eighth cervical nerve
11151,inferior colliculus,segment of midbrain tectum
11152,c7 dorsal column nucleus of thoracodorsal nerve,segment of thoracodorsal nerve nucleus of dorsal column
11153,neuroglial network of white matter of hindbrain,neuroglial network of white matter of segment of brain
11154,trunk of nerve to left quadratus lumborum,trunk of nerve to quadratus lumborum
11155,phlebolith,calcification
11156,radiography filter,radiography procedure attribute
11157,region of surface of urinary bladder,region of organ surface
11158,articular cartilage of distal end of clavicle,articular cartilage
11159,distal epiphysis of left third metacarpal bone,distal epiphysis of third metacarpal bone
11160,anterior horn of medulla oblongata,subcortical gray matter
11161,anterior branch of lateral cutaneous branch of right seventh intercostal nerve,anterior branch of lateral cutaneous branch of seventh intercostal nerve
11162,lobule II of hemisphere of cerebellum,lobule of hemisphere of cerebellum
11163,brainstem,segment of brain
11164,cuneocuboid joint,joint of ankle or foot
11165,internal granular layer of Brodmann area 6,lamina of Brodmann area 6
11166,choroid plexus of right cerebral hemisphere,choroid plexus of cerebral hemisphere
11167,longissimus thoracis,longissimus
11168,lateral nail fold of right little toe,lateral nail fold of little toe
11169,trunk of left subcostal nerve,trunk of subcostal nerve
11170,neuronal component of white matter of L4 segment,neuronal component of white matter of lumbar subsegment of spinal cord
11171,thenar muscular branch of left median nerve,thenar muscular branch of median nerve
11172,C2 pulley of finger,cruciate pulley of finger
11173,anterior ramus of left fourth sacral nerve,anterior ramus of fourth sacral nerve
11174,trunk of anterior ramus of left fifth cervical nerve,trunk of anterior ramus of fifth cervical nerve
11175,spino-olivary tract,tract of brain
11176,polyarteritis,arteritis
11177,postganglionic segment of posterior root of right coccygeal spinal nerve,postganglionic segment of posterior root of coccygeal spinal nerve
11178,foramen transversarium,anatomical conduit
11179,gray matter of right lingual gyrus,gray matter of lingual gyrus
11180,RID12669,Obsolete Radlex Term
11181,white matter of left inferior occipital gyrus,white matter of inferior occipital gyrus
11182,smooth muscle coat of prostatic urethra,muscle layer of urethra
11183,distal region of muscle body of right vastus lateralis,distal region of muscle body of vastus lateralis
11184,set of commissural fibers of telencephalon,set of neuraxis fibers
11185,amyloid arthropathy,arthritis
11186,c7 ventral column nucleus of right thoracodorsal nerve,c7 ventral column nucleus of thoracodorsal nerve
11187,distal band of palmar scaphotriquetral ligament,zone of palmar scaphotriquetral ligament
11188,mucus,portion of body fluid suspension
11189,muscular tributary of ventral tributary of second lumbar vein,muscular tributary of ventral tributary of lumbar vein
11190,inner spiral sulcus of spiral organ,spiral sulcus
11191,surface of superior glenohumeral ligament,surface of glenohumeral ligament
11192,anterior ramus of first sacral nerve,anterior ramus of sacral nerve
11193,nerve to right fourth levator costae,nerve to fourth levator costae
11194,superior anterior division segment of right median nerve,superior anterior division segment of median nerve
11195,gray matter of gyrus of occipital lobe,gray matter of gyrus
11196,trunk of communicating branch to left posterior scrotal nerve,trunk of communicating branch to posterior scrotal nerve
11197,rootlet of left fifth cervical nerve,rootlet of fifth cervical nerve
11198,region of prostatic capsule,region of organ component
11199,vasculature of segment of brain,vasculature of organ part
11200,head region of muscle body of left semimembranosus,head region of muscle body of semimebranosus
11201,filtering,reformat procedure step
11202,vasculature of white matter of T1 segment,vasculature of white matter of thoracic segment of spinal cord
11203,right glossopharyngeal nerve,glossopharyngeal nerve
11204,multiform layer of left Brodmann area 27,multiform layer of Brodmann area 27
11205,trunk of medial branch of right superficial fibular nerve,trunk of medial branch of superficial fibular nerve
11206,tendon of right sartorius,tendon of sartorius
11207,left inferior occipitofrontal fasciculus,inferior occipitofrontal fasciculus
11208,descending branch of meningeal branch of left sixth cervical nerve,descending branch of meningeal branch of sixth cervical nerve
11209,right gastro-epiploic lymphatic vessel,gastric lymphatic vessel
11210,l1 branch to left iliocostalis lumborum,l1 branch to iliocostalis lumborum
11211,squamosal margin of sphenoid bone,anatomical line of bone
11212,subscapularis branch of right superior subscapular nerve (2),subscapularis branch of superior subscapular nerve (2)
11213,segmental pulmonary artery,pulmonary artery
11214,medial pectoral nerve component of inferior trunk segment of left first thoracic nerve,medial pectoral nerve component of inferior trunk segment of first thoracic nerve
11215,left extensor carpi radialis longus,extensor carpi radialis longus muscle
11216,lateral branch of posterior ramus of right third cervical nerve,lateral branch of posterior ramus of third cervical nerve
11217,branch of left lingual nerve to left sublingual ganglion,branch of lingual nerve to sublingual ganglion
11218,obliquus capitis inferior muscle,suboccipital muscle
11219,central segment of great auricular nerve,central segment of peripheral nerve
11220,zone of orbicularis oculi,zone of muscle of head
11221,meningeal branch of right third thoracic nerve,meningeal branch of third thoracic nerve
11222,frontal nerve,branch of ophthalmic nerve
11223,c1 segment of right lateral corticospinal tract,c1 segment of lateral corticospinal tract
11224,neural network of organ system subdivision,neural network
11225,white matter of triangular part of inferior frontal gyrus,segment of white matter of gyrus of frontal lobe
11226,cutaneous branch of lateral branch of posterior ramus of ninth thoracic nerve,cutaneous branch of lateral branch of posterior ramus of thoracic nerve
11227,lateral muscular branch of right radial nerve to right brachialis,lateral muscular branch of radial nerve to brachialis
11228,malignant optic glioma of adulthood,glioma
11229,gray matter of rostral part of anterior cingulate gyrus,gray matter of segment of gyrus
11230,white matter of left anterior quadrangular lobule,white matter of anterior quadrangular lobule
11231,lateral branch of dorsal branch of right fourth lumbar artery,lateral branch of dorsal branch of fourth lumbar artery
11232,left gracile nucleus of spinal cord,gracile nucleus of spinal cord
11233,region of mucosa,region of organ component
11234,medial branch of posterior ramus of right first sacral nerve,medial branch of posterior ramus of first sacral nerve
11235,noninvasive,aggressiveness descriptor
11236,diaphysis of middle phalanx of ring finger,diaphysis of phalanx of ring finger
11237,gluteal lymph node,parietal lymph node of pelvis
11238,t11 segment of substantia gelatinosa,thoracic subsegment of substantia gelatinosa
11239,vasculature of dorsal lobe of prostate,vasculature of lobe of prostate
11240,body piercing,decoration
11241,right tenth thoracic spinal ganglion,tenth thoracic spinal ganglion
11242,left peripheral auditory cortex,peripheral auditory cortex
11243,spinal cord segment of corticospinal tract,tract of spinal cord
11244,trunk of vastus intermedius branch of left femoral nerve,trunk of vastus intermedius branch of femoral nerve
11245,nerve to right levator anguli oris,nerve to levator anguli oris
11246,white matter of short insular gyrus,white matter of gyrus of insula
11247,branch of posterior muscular branch of radial nerve to medial head of triceps brachii,branch of posterior muscular branch of radial nerve
11248,gray matter of ventral part of right precentral gyrus,gray matter of ventral part of precentral gyrus
11249,T2 hyperintensity,hyperintense
11250,lateral cutaneous branch of ventral branch of left third lumbar artery,lateral cutaneous branch of ventral branch of third lumbar artery
11251,pectoral part proper of chest,region of pectoral part of chest
11252,anterior mediastinal lymph node,pericardial lymph node
11253,l2 segment of ventral gray column of spinal cord,lumbar subsegment of ventral gray column of spinal cord
11254,segment of C8 root of radial nerve,segment of root of radial nerve
11255,left sixth thoracic spinal ganglion,sixth thoracic spinal ganglion
11256,lateral cutaneous branch of medial branch of posterior ramus of left twelfth thoracic nerve,lateral cutaneous branch of medial branch of posterior ramus of twelfth thoracic nerve
11257,BI-RADS 1,BI-RADS assessment
11258,surface of lesser tubercle of humerus,surface of region of humerus
11259,descending branch of right hypoglossal nerve,descending branch of hypoglossal nerve
11260,right orbital gyrus,orbital gyrus
11261,fatty layer of superficial fascia of abdomen,fatty layer
11262,surface of anterior part of abdomen,subdivision of surface of abdomen
11263,posterior vestibular branch of right vestibulocochlear artery,posterior vestibular branch
11264,muscle body of left soleus,muscle body of soleus
11265,muscle layer of abdominal part of ureter,muscle layer of region of ureter
11266,brodmann area 47 of left frontal lobe,brodmann area 47 of frontal lobe
11267,segment of Brodmann area 16,segment of Brodmann area
11268,head of left gastrocnemius,head of gastrocnemius
11269,posterior branch of lateral cutaneous branch of sixth intercostal nerve,posterior branch of lateral cutaneous branch of intercostal nerve
11270,rostromedial auditory cortex,region of auditory cortex
11271,neural network of left dorsal lobe of prostate,neural network of dorsal lobe of prostate
11272,branch of left anterior inferior cerebellar artery to pons,branch of anterior inferior cerebellar artery to pons
11273,right dorsomedial nucleus of hypothalamus,dorsomedial hypothalamic nucleus
11274,subsegment of caudate lobe of liver,subsegment of liver
11275,median nerve component of trunk of left fifth cervical nerve,median nerve component of trunk of fifth cervical nerve
11276,incorrect patient name,patient data error
11277,median artery,branch of common interosseous artery
11278,head region of muscle body of left teres major,head region of muscle body of teres major
11279,paracentral artery,branch of callosomarginal artery
11280,muscular branch of lateral branch of dorsal branch of right fourth lumbar artery,muscular branch of lateral branch of dorsal branch of fourth lumbar artery
11281,white communicating ramus of right third lumbar nerve,white communicating ramus of third lumbar nerve
11282,sagging rope sign,imaging sign
11283,external pyramidal layer of right Brodmann area 41,external pyramidal layer of Brodmann area 41
11284,supinator sign,imaging sign
11285,nerve to first internal intercostal muscle,muscular branch of first intercostal nerve
11286,central segment of right eighth cervical spinal nerve,central segment of eighth cervical spinal nerve
11287,left parietal vein,parietal vein
11288,bone-scan double density sign,imaging sign
11289,gray matter of right orbital gyrus,gray matter of orbital gyrus
11290,superior subscapular nerve component of posterior root of sixth cervical nerve,segment of C6 root of superior subscapular nerve
11291,copper,chemical element
11292,number of acquisitions,imaging procedure property
11293,left frontal lobe,frontal lobe
11294,foraminal spinal stenosis,spinal stenosis
11295,pyonephrosis,infection
11296,left seventh posterior cervical intertransversarius,seventh posterior cervical intertransversarius
11297,RID12349,Obsolete Radlex Term
11298,incorrect marker orientation,marker error
11299,internal pyramidal lamina of cerebral cortex,lamina of cerebral cortex
11300,zone of lateral meniscus,zone of cartilage organ
11301,Loeffler endocarditis,restrictive cardiomyopathy
11302,region of conjunctiva,region of organ component
11303,central segment of left phrenic nerve,central segment of phrenic nerve
11304,spinothalamic tract of midbrain,tract of brain
11305,branch of mylohyoid nerve to anterior belly of digastric,branch of mylohyoid nerve
11306,epipial layer of pia mater,region of pia mater
11307,nerve to left ninth external intercostal muscle,nerve to ninth external intercostal muscle
11308,goiter,enlargement
11309,internal surface of cardia of stomach,internal surface of subdivision of stomach
11310,variation of medial meniscus,medial meniscus
11311,segment of C5 root of suprascapular nerve,segment of root of suprascapular nerve
11312,depressor supercilii muscle,external muscle of eye
11313,l5 segment,lumbar subsegment of spinal cord
11314,white matter of right gracile lobule,white matter of gracile lobule
11315,set of toes,set of subdivisions of cardinal body part
11316,muscle layer of uterine part of right uterine tube,muscle layer of uterine part of uterine tube
11317,lenticular fasciculus of telencephalon,fasciculus of brain
11318,epicolic lymphatic vessel,colic lymphatic vessel
11319,neural network of pituitary portal system,neural network of subdivision of cardiovascular system
11320,patella,sesamoid bone
11321,proximal metaphysis proper of left femur,proximal metaphysis proper of femur
11322,humeral head of left flexor carpi ulnaris,humeral head of flexor carpi ulnaris
11323,belly of biceps brachii,muscle belly
11324,medial dorsal digital nerve of right third toe,medial dorsal digital nerve of third toe
11325,trunk of communicating branch of auricular branch of vagus nerve with facial nerve,trunk of branch of auricular branch of vagus nerve
11326,thoracic segment of trunk,subdivision of trunk
11327,l1 segment of dorsal gray column of spinal cord,lumbar subsegment of dorsal gray column of spinal cord
11328,osteoporosis,demineralization
11329,common iliac vein,subdivision of inferior vena caval tree
11330,right ventral spinocerebellar tract of spinal cord,ventral spinocerebellar tract of spinal cord
11331,visceral pelvic peritoneum,region of pelvic peritoneum
11332,branch of anterior division of internal iliac artery,branch of internal iliac artery
11333,anatomical set,anatomical entity
11334,internal surface of urinary bladder,surface of urinary bladder
11335,posterior surface of arytenoid cartilage,surface of cartilage
11336,upper subscapular nerve branch of posterior division of anterior ramus of right sixth cervical nerve,upper subscapular nerve branch of posterior division of anterior ramus of sixth cervical nerve
11337,tibiocalcaneal ligament,superficial deltoid ligament of ankle
11338,set of pelvic splanchnic nerves,set of nerves
11339,lateral head of fourth dorsal interosseous of hand,head of fourth dorsal interosseous of hand
11340,basic perceptual difficulty,perceptual difficulty
11341,wall of vagina,wall of organ
11342,ventral part of anterior quadrangular lobule,subdivision of anterior quadrangular lobule
11343,deep layer of proximal nail fold of left fourth toe,deep layer of proximal nail fold of fourth toe
11344,medial margin of right kidney,medial margin of kidney
11345,distal metaphysis of left fifth metatarsal bone,distal metaphysis of fifth metatarsal bone
11346,anterior rootlet of left second thoracic nerve,anterior rootlet of second thoracic nerve
11347,lamina of Brodmann area 24,lamina of Brodmann area
11348,musculoskeletal region,body region
11349,dilator of pupil,muscle of iris
11350,trunk of upper branch of internal laryngeal nerve to laryngeal vestibule,trunk of upper branch of internal laryngeal nerve
11351,areolar connective tissue of subserosa of descending colon,areolar connective tissue
11352,lateral lip of linea aspera of right femur,lateral lip of linea aspera of femur
11353,decreasing,status descriptor
11354,humeral head of left extensor carpi ulnaris,humeral head of extensor carpi ulnaris
11355,frenulum of upper lip,subdivision of mouth
11356,t11 segment of left ventral gray column of spinal cord,t11 segment of ventral gray column of spinal cord
11357,segment of inferior frontal gyrus,segment of gyrus of frontal lobe
11358,intimal flap,flap tear
11359,left umbilical prevesical fascia,umbilical prevesical fascia
11360,left spinotectal tract of spinal cord,spinotectal tract of spinal cord
11361,hepatic fat sparing,liver imaging observation
11362,stromal neoplasm or complex mixed neoplasm,neoplasm
11363,c8 branch to left iliocostalis cervicis,c8 branch to iliocostalis cervicis
11364,compressor urethrae branch of right perineal nerve,compressor urethrae branch of perineal nerve
11365,ascending branch of meningeal branch of left coccygeal nerve,ascending branch of meningeal branch of coccygeal nerve
11366,lenticulostriate artery,branch of sphenoid part of middle cerebral artery
11367,peripheral segment of right abducens nerve,peripheral segment of abducens nerve
11368,3D image processing,image processing procedure step
11369,central region of left breast,central region of breast
11370,plexiform layer of Brodmann area 18,lamina of Brodmann area 18
11371,internal surface of subdivision of urinary bladder,surface of region of urinary bladder
11372,anterior lamina of tendon of left pectoralis major,anterior lamina of tendon of pectoralis major
11373,medial branch of posterior ramus of right seventh thoracic nerve to right longissimus thoracis,medial branch of posterior ramus of seventh thoracic nerve to longissimus thoracis
11374,meningeal branch of left hypoglossal nerve to to wall of occipital sinus,meningeal branch of hypoglossal nerve to to wall of occipital sinus
11375,external surface of uterine tube,surface of uterine tube
11376,purulent,turbidity descriptor
11377,posterior lobule of left insula,posterior lobule of insula
11378,adenomatoid odontogenic tumor,odontogenic tumor
11379,nail bed of big toe,nail bed of toe
11380,skeletal muscle of thigh,muscle of lower limb
11381,combined transducer,ultrasound transducer
11382,eosinophilic granuloma,Langerhans cell histiocytosis
11383,right flexor digitorum superficialis,flexor digitorum superficialis muscle
11384,RID12462,Obsolete Radlex Term
11385,anteromedial band of anterior cruciate ligament,segment of anterior cruciate ligament
11386,middle collateral branch of left deep brachial artery,medial collateral artery
11387,septae,anatomic sub-part
11388,proximal myotendinous region of long head of biceps brachii,proximal myotendinous region of head of biceps brachii
11389,area of insertion of right biceps femoris,area of insertion of biceps femoris
11390,RID12907,Obsolete Radlex Term
11391,posterolateral,orientation descriptor
11392,branch of musculocutaneous nerve to long head of biceps brachii,branch of musculocutaneous nerve
11393,RID10104,Obsolete Radlex Term
11394,first sacral nerve,sacral nerve
11395,tibial intercondylar eminence,zone of intercondylar part of tibia
11396,b-value,MR procedure attribute
11397,trunk of quadriceps femoris branch of femoral nerve,trunk of muscular branch of femoral nerve
11398,dorsal elbow,free upper limb segment
11399,l4 segment of left dorsal gray column of spinal cord,l4 segment of dorsal gray column of spinal cord
11400,ascending branch of meningeal branch of tenth thoracic nerve,ascending branch of meningeal branch of thoracic nerve
11401,set of penile veins,set of veins
11402,peri-urethral region of transition zone of prostate,region of transition zone of prostate
11403,subdivision of respiratory conduit space,anatomical conduit space
11404,trunk of posterior labial nerve,trunk of branch of perineal nerve
11405,internal pyramidal lamina of left Brodmann area 15,internal pyramidal layer of Brodmann area 15
11406,anterior ends of ribs,set of rib regions
11407,region of wall of prostatic part of urethra,region of organ component
11408,l1 segment of left lateral gray column of spinal cord,l1 segment of lateral gray column of spinal cord
11409,genitofemoral nerve,peripheral nerve
11410,skin of sole of foot,subdivision of skin of free lower limb
11411,neuroglial network of L2 segment of spinal cord,neuroglial network of lumbar subsegment of spinal cord
11412,region of wall of duodenum,region of wall of small intestine
11413,Gaucher disease,lysosomal storage disease
11414,gray communicating ramus of cervicothoracic ganglion to eighth cervical spinal nerve,lateral branch of cervicothoracic ganglion
11415,trunk of left lateral pectoral nerve,trunk of lateral pectoral nerve
11416,RID12438,Obsolete Radlex Term
11417,RID1530,Obsolete Radlex Term
11418,root of left second cervical nerve,root of second cervical nerve
11419,brodmann area 6 of dorsal part of precentral gyrus,segment of Brodmann area 6
11420,right lumbar lymph node group proper,lumbar lymph node group proper
11421,RID13074,Obsolete Radlex Term
11422,c7 dorsal column nucleus of left median nerve,c7 dorsal column nucleus of median nerve
11423,intertragic notch of pinna,anatomical line
11424,trunk of left eighth intercostal nerve,trunk of eighth intercostal nerve
11425,external granular layer of right Brodmann area 51,external granular layer of Brodmann area 51
11426,flexor digitorum superficialis muscle,superficial muscle of volar forearm
11427,vestibular nuclei,nuclear complex of neuraxis
11428,fiducial placement,device placement procedure
11429,6 views,number of views
11430,non-hemorrhagic,composition descriptor
11431,external granular layer of left Brodmann area 22,external granular layer of Brodmann area 22
11432,common belly of triceps brachii,belly of triceps brachii
11433,hamartoma of tuber cinereum,hamartoma
11434,costotransverse process joint,costovertebral joint
11435,medial facet of trochlea of femur,zone of distal epiphysis of femur
11436,area of origin of lateral head of right gastrocnemius,area of origin of lateral head of gastrocnemius
11437,lateral lenticulostriate artery,lenticulostriate artery
11438,craniocaudal exaggerated medially projection,exaggerated craniocaudal projection
11439,anterior division of left first intercostal nerve,anterior division of first intercostal nerve
11440,RID12562,RID12506
11441,t1 ventral column nucleus of left radial nerve,t1 ventral column nucleus of radial nerve
11442,distobuccal cusp of tooth,cusp of tooth
11443,intrathoracic,anatomically-related descriptor
11444,tail of helix,subdivision of external ear
11445,trunk of fifth intercostal nerve,trunk of intercostal nerve
11446,set of sulci of gastric mucosa,set of anatomical spaces
11447,c6 branch to longissimus cervicis,muscular branch of lateral branch of posterior ramus of sixth cervical nerve
11448,region of prostatic arterial plexus,arterial plexus
11449,trunk of greater petrosal nerve,trunk of branch of facial nerve
11450,medial proper plantar digital nerve of left third toe,medial proper plantar digital nerve of third toe
11451,rootlet of right vagus nerve,rootlet of vagus nerve
11452,dorsolateral part of left Brodmann area 9,dorsolateral part of Brodmann area 9
11453,cutaneous branch of lateral branch of posterior ramus of first thoracic nerve,cutaneous branch of lateral branch of posterior ramus of thoracic nerve
11454,posterior temporal branch of left middle cerebral artery,posterior temporal branch of middle cerebral artery
11455,Brenner tumor,fibroepithelial neoplasm
11456,denticulate ligament,region of pia mater
11457,deep layer of proximal nail fold of big toe,deep layer of proximal nail fold of toe
11458,neuronal component of cervical segment of spinal cord,neuronal component of segment of spinal cord
11459,RID9500,Obsolete Radlex Term
11460,dura mater of anterior root of left first lumbar nerve,dura mater of anterior root of first lumbar nerve
11461,right ventral amygdalofugal projection,ventral amygdalofugal projection
11462,vasculature of cervical subsegment of spinal cord,vasculature of subsegment of spinal cord
11463,trunk of right femoral nerve,trunk of femoral nerve
11464,tubal glands of eustachian tube,gland
11465,external pyramidal layer of right Brodmann area 23,external pyramidal layer of Brodmann area 23
11466,surface of ileocecal valve,surface of organ
11467,transitional epithelium of pelvic part of ureter,transitional epithelium of ureter
11468,indistinct,visibility descriptor
11469,proximal tendon of clavicular part of deltoid,proximal tendon of deltoid
11470,trunk of cochlear nerve,trunk of branch of vestibulocochlear nerve
11471,branch of anterior choroidal artery to anterior perforated substance,branch of anterior choroidal artery
11472,branch of upper deep buccal branch of facial nerve,deep buccal branch of facial nerve
11473,medullary cavity,cavity of organ part
11474,c6 branch to left splenius cervicis,c6 branch to splenius cervicis
11475,trunk of lateral femoral cutaneous nerve,trunk of peripheral nerve
11476,approximate reconstruction,analytical reconstruction
11477,external pyramidal layer of Brodmann area 16,lamina of Brodmann area 16
11478,S1,sacral spine descriptor
11479,outer muscle layer,subdivision of muscle layer
11480,barium enema,imaging procedure
11481,synovial cavity of right acromioclavicular joint,synovial cavity of acromioclavicular joint
11482,ascending branch of meningeal branch of right first lumbar nerve,ascending branch of meningeal branch of first lumbar nerve
11483,relapsing leaflet,valvular heart disease
11484,root of right sixth cervical nerve,root of sixth cervical nerve
11485,left prostatic sinus,prostatic sinus
11486,hemiliver,lobe of liver
11487,posterior ramus of right second cervical nerve,posterior ramus of second cervical nerve
11488,deep brachial vein,tributary of brachial vein
11489,pulmonary blood flow redistribution,flow disorder
11490,synovial joint of pectoral girdle,synovial joint
11491,white matter of right anterior orbital gyrus,white matter of anterior orbital gyrus
11492,external surface of ureter proper,surface of ureter proper
11493,capillary of glomerulus,segment of renal artery
11494,anterior belly of digastric,belly of digastric
11495,tectobulbar tract,tract of brain
11496,brodmann area 31 of limbic lobe,segment of Brodmann area 31
11497,neural network of upper limb,neural network of limb
11498,Isovue-M,iopamidol
11499,sixth cervical vertebra,cervical vertebra
11500,distal tendon of subclavius,tendon of subclavius
11501,injury due to frostbite,injury due to thermal or electrical trauma
11502,middle meningeal vein,subdivision of pterygoid plexus
11503,axillary nerve component of posterior root of right fifth cervical nerve,axillary nerve component of posterior root of fifth cervical nerve
11504,segment of Brodmann area 4,segment of Brodmann area
11505,trunk of communicating branch of cervical nerve plexus with vagus nerve,trunk of deep communicating medial branch of cervical nerve plexus
11506,sequential dilation of a structure,balloon dilation procedure
11507,ischemic heart disease,heart disease
11508,tendon of adductor magnus,tendon
11509,branch of superficial fibular nerve,branch of common peroneal nerve
11510,nasal spine of frontal bone,zone of frontal bone
11511,intragastric,anatomically-related descriptor
11512,adrenal vessel,anatomically-specified blood vessel
11513,muscular branch of anterior ramus of fourth cervical nerve,branch of anterior ramus of fourth cervical nerve
11514,right intermediate femoral cutaneous nerve,intermediate femoral cutaneous nerve
11515,cervical plexus,nerve plexus
11516,musculocutaneous nerve component of trunk of anterior division of anterior ramus of left fifth cervical nerve,musculocutaneous nerve component of trunk of anterior division of anterior ramus of fifth cervical nerve
11517,partial ring nuclear detector,nuclear detector geometry type
