id,parentId
rootlet of seventh thoracic nerve,rootlet of thoracic nerve
internal opening of carotid canal,orifice of skull
adventitia of right renal pelvis,adventitia of renal pelvis
articular branch of posterior ramus of right ninth thoracic nerve,articular branch of posterior ramus of ninth thoracic nerve
lateral surface of left cerebral hemisphere,lateral surface of cerebral hemisphere
s1 segment of substantia gelatinosa,sacral subsegment of substantia gelatinosa
peripheral segment of right obturator nerve,peripheral segment of obturator nerve
intervertebral osteochondrosis,intervertebral disc degeneration
branch of right anterior interosseous nerve to right flexor digitorum profundus,branch of anterior interosseous nerve to flexor digitorum profundus
lamina propria of body of stomach,lamina propria
space of compartment of trunk,anatomical compartment space
t4 segment of right gracile fasciculus of spinal cord,t4 segment of gracile fasciculus of spinal cord
medial rectus muscle,extraocular muscle
muscle body of left pectoralis major,muscle body of pectoralis major
rectus capitus lateralis muscle,muscle of neck
peripheral segment of axillary nerve,peripheral segment of peripheral nerve
right posterior ciliary vein,vorticose vein
incisor tooth,tooth
distal tendon of left soleus,distal tendon of soleus
RID9588,Obsolete Radlex Term
pararectal fossa,peritoneal fossa (space)
sublingual fold,organ zone
DeBakey type II,aortic dissection descriptor
hypoglycemia,disorder of endocrine system
left serratus anterior,serratus anterior muscle
musculocutaneous nerve nucleus of left ventral column,musculocutaneous nerve nucleus of ventral column
muscular branch of ventral branch of right first lumbar artery,muscular branch of ventral branch of first lumbar artery
trunk of right oculomotor nerve,trunk of oculomotor nerve
peripheral segment of right ulnar nerve,peripheral segment of ulnar nerve
neural network of bony part of left fourth metacarpal bone,neural network of bony part of fourth metacarpal bone
central lobule proper,lobule of hemisphere of cerebellum
ileal lymph node group,visceral lymph node group of abdomen proper
anterior inferior renal segment,renal segment
interlobular branch of right inferior segmental renal artery,interlobular branch of inferior segmental renal artery
dura mater of anterior root of third cervical nerve,dura mater of anterior root of cervical nerve
surface of region of bone organ,surface of organ region
set of spinal nerve roots,set of nerve roots
plexal point of anterior choroidal artery,anatomical point
reflected tendon of right rectus femoris,reflected tendon of rectus femoris
anterior division of temporal segment of fusiform gyrus,segment of fusiform gyrus
right lower lobe bronchus,lower lobe bronchus
fistula,mechanical disorder
area of insertion of right pectoralis minor,area of insertion of pectoralis minor
open epiphysis,epiphysis
paleodentate part of dentate nucleus,subdivision of dentate nucleus
articular surface of distal interphalangeal joint of finger,articular surface
posteromedian medullary vein,vein of medulla oblongata
trunk of branch of tibial nerve,trunk of branch of sciatic nerve
antimesenteric border of large intestine,anatomical line of large intestine
RID13067,Obsolete Radlex Term
body of sternum,zone of sternum
neural tissue of L2 segment of spinal cord,neural tissue of lumbar subsegment of spinal cord
belly of first lumbrical of left foot,belly of first lumbrical of foot
external pyramidal layer of right Brodmann area 33,external pyramidal layer of Brodmann area 33
second proper palmar digital nerve,proper palmar digital branch of median nerve
brodmann area 6 of left superior frontal gyrus,brodmann area 6 of superior frontal gyrus
subtendinous bursa of right trapezius,subtendinous bursa of trapezius
cystourethrography chain,imaging visualization device
Leonard George view,named imaging view
dorsal nail matrix of right little toe,dorsal nail matrix of little toe
anterior division of anterior ramus of right eighth cervical nerve,anterior division of anterior ramus of eighth cervical nerve
cricopharyngeal myotomy,esophagus surgery
tendon of right tensor fasciae latae,tendon of tensor fasciae latae
lower esophageal muscular ring,organ component
descending branch of meningeal branch of left fifth cervical nerve,descending branch of meningeal branch of fifth cervical nerve
mesothelium of serosa of urinary bladder,mesothelium of region of visceral peritoneum
neurovascular bundle of region of cervicothoracic-brachial compartment,neurovascular bundle
c6 ventral column nucleus of left radial nerve,c6 ventral column nucleus of radial nerve
anterior rootlet of left eighth thoracic nerve,anterior rootlet of eighth thoracic nerve
accessory pancreatic duct,pancreatic duct
external pyramidal layer of right Brodmann area 1,external pyramidal layer of Brodmann area 1
distal segment of C5 root of right median nerve,distal segment of C5 root of median nerve
neuroglial network of gray matter of S1 segment,neuroglial network of gray matter of sacral subsegment of spinal cord
histiocytic or fibrohistiocytic neoplasm,neoplasm
nerve to left flexor pollicis brevis,nerve to flexor pollicis brevis
lateral nail fold of right fourth toe,lateral nail fold of fourth toe
second lateral obtuse marginal artery,branch of left marginal artery
aspiration of solid foreign body,pulmonary aspiration
muscle body of right abductor pollicis longus,muscle body of abductor pollicis longus
distal tendon of brachialis,tendon of brachialis
lateral part of chest,region of anterior chest
ImportImage,workflow term
vascular stent-graft,endovascular device
nerve to left flexor digitorum brevis,nerve to flexor digitorum brevis
lateral surface of long head of triceps brachii,region of surface of triceps brachii
kyphoplasty,vertebral augmentation
functional area of pars triangularis,functional area of inferior frontal gyrus
anterior zone of body of left scapula,anterior zone of body of scapula
l4 segment of right ventral gray column of spinal cord,l4 segment of ventral gray column of spinal cord
muscle body of iliococcygeus,skeletal muscle body
trunk of flexor hallucis brevis branch of right medial plantar nerve,trunk of flexor hallucis brevis branch of medial plantar nerve
radius of lens,organ component
rootlet of right third thoracic nerve,rootlet of third thoracic nerve
t10 segment of left posterior spinocerebellar tract,t10 segment of posterior spinocerebellar tract
medial talocalcaneal ligament,ligament of subtalar joint
surface proper of umbilicus,subdivision of surface of umbilicus
transurethral,anatomically-related descriptor
ascending branch of meningeal branch of right first thoracic nerve,ascending branch of meningeal branch of first thoracic nerve
trunk of meningeal branch of hypoglossal nerve,trunk of branch of hypoglossal nerve
right ventral tegmental nucleus,ventral tegmental nucleus
gastric carcinoma,carcinoma
internal granular layer of Brodmann area 2,lamina of Brodmann area 2
physiological condition descriptor,Radlex descriptor
metaphysis of right first metatarsal bone,metaphysis of first metatarsal bone
transverse process of sixth cervical vertebra,transverse process of cervical vertebra
t5 segment of lateral gray column of spinal cord,segment of lateral gray column of spinal cord
ethmoidal crest of palatine bone,zone of palatine bone
T2 hypointensity,hypointense
medical record number,patient identifier
membranous lamina of cartilage of eustachian tube,organ component layer
serous sac,organ with organ cavity
tributary of thoraco-acromial vein,tributary of cephalic vein
dura mater of anterior root of left sixth cervical nerve,dura mater of anterior root of sixth cervical nerve
nerve to left semimembranosus (1),nerve to semimembranosus (1)
trunk of left lesser petrosal nerve,trunk of lesser petrosal nerve
distal metaphysis of distal phalanx of thumb,distal metaphysis of phalanx of thumb
metaphysis of third metacarpal bone,metaphysis of metacarpal bone
RID40076,Obsolete Radlex Term
subdivision of gigantocellular nucleus,subdivision of nucleus of neuraxis
macronodular,nodular
right biceps brachii,biceps brachii muscle
brachial vein,tributary of axillary vein
right common iliac lymph node group,common iliac lymph node group
multiform layer of left Brodmann area 1,multiform layer of Brodmann area 1
vasculature of gray matter of C6 segment,vasculature of gray matter of cervical subsegment of spinal cord
posterior semicircular canal,semicircular canal
neural tissue of cranial nerve,neural tissue of neural tree organ
gray matter of ventral part of left lateral occipital gyrus,gray matter of ventral part of lateral occipital gyrus
evaluate transplant,assessment procedure
belly of first palmar interosseous of hand,belly of palmar interosseous of hand
deltoid branch of left thoraco-acromial artery,deltoid branch of thoraco-acromial artery
left trapezoid nucleus,ventral nucleus of trapezoid body
left anterior spinocerebellar tract,anterior spinocerebellar tract
circular muscle layer of duodenum,circular muscle layer of zone of small intestine
medial branch of posterior ramus of tenth thoracic nerve to longissimus thoracis,muscular branch of medial branch of posterior ramus of tenth thoracic nerve
body wall,subdivision of trunk
left masseteric nerve,masseteric nerve
left half of thoracic cavity,subdivision of thoracic cavity
t10 segment of right nucleus proprius of spinal cord,t10 segment of nucleus proprius of spinal cord
c1 segment of cuneate fasciculus of spinal cord,cervical subsegment of cuneate fasciculus of spinal cord
trunk of communicating branch of right cervical nerve plexus with right sympathetic trunk,trunk of communicating branch of cervical nerve plexus with sympathetic trunk
segment of gracile fasciculus of spinal cord,segment of fasciculus of spinal cord
costal surface of scapula,subdivision of surface of scapula
brodmann area 42 of superior temporal gyrus,segment of Brodmann area 42
main portal fissure,anatomical line of liver
superior ganglion of left vagus nerve,superior ganglion of vagus nerve
left hepatic biliary tree,segment of biliary tree
precentral branch of third lumbar artery,precentral branch of lumbar artery
lateral branch of pontine artery,branch of pontine artery
inferior aortic pericardial recess,pericardial recess
subdivision of surface of skull,surface of organ system subdivision
anterior surface of sigmoid colon,anterior surface of segment of large intestine
infrascapular part of back,subdivision of back of thorax
Hodgkin lymphoma,lymphoma
medial medullary branch of right vertebral artery,medial medullary branch of vertebral artery
right rostral intralaminar nuclear group,rostral intralaminar nuclear group
parametrial lymphatic vessel,visceral pelvic lymphatic vessel
segmental tributary of splenic vein,tributary of splenic vein
styloid process of left ulna,ulnar styloid
right cochlear ganglion,cochlear ganglion
c6 root of right lateral pectoral nerve,c6 root of lateral pectoral nerve
lateral head of triceps muscle branch of right posterior circumflex humeral artery,lateral head of triceps muscle branch of posterior circumflex humeral artery
stroma of quadrate lobe of liver,stroma of lobe of liver
posterior interosseous nerve,branch of radial nerve
dorsal part of postcentral gyrus,segment of postcentral gyrus
LSO,nuclear crystal detector material
musculocutaneous nerve component of anterior root of left fifth cervical nerve,musculocutaneous nerve component of anterior root of fifth cervical nerve
c3 segment of gracile fasciculus of spinal cord,cervical subsegment of gracile fasciculus of spinal cord
tendon of articularis cubiti,tendon
plantaris muscle,superficial muscle of posterior compartment of leg
middle phalanx of toe,phalanx of toe
nerve to right obliquus capitis inferior,nerve to obliquus capitis inferior
tonsillar branch of right glossopharyngeal nerve,tonsillar branch of glossopharyngeal nerve
prelaminar branch of spinal branch of second lumbar artery,prelaminar branch of spinal branch of lumbar artery
water inversion,spectral inversion
white matter structure of midbrain tegmentum,white matter of neuraxis
rhenium,chemical element
left lacrimal nerve,lacrimal nerve
branch of left seventh intercostal nerve to left transversus abdominis,branch of seventh intercostal nerve to transversus abdominis
set of rootlets of right third cervical nerve,set of rootlets of third cervical nerve
set of jaws,set of subdivisions of head
proximal medial tibial epiphysis,proximal epiphysis of tibia
internal surface of pelvic part of right ureter,internal surface of pelvic part of ureter
intercostal nerve,anterior ramus of spinal nerve
right axillary vein,axillary vein
postcentral branch of spinal branch of right third lumbar artery,postcentral branch of spinal branch of third lumbar artery
circular muscle layer of large intestine,inner muscle layer of organ
neural layer of retina,layer of retina
ischemic cardiomyopathy,cardiomyopathy
segment of trunk of posterior division of anterior ramus of eighth cervical nerve,segment of trunk of division of anterior ramus of eighth cervical nerve
nerve to left superior oblique,nerve to superior oblique
posterior bundle of ulnar collateral ligament of elbow joint,zone of ulnar collateral ligament of elbow
white communicating ramus of seventh intercostal nerve,white communicating ramus of intercostal nerve
RID5424,Obsolete Radlex Term
region of parenchyma of kidney,region of organ component of kidney
postlaminar branch of dorsal branch of right second lumbar artery,postlaminar branch of dorsal branch of second lumbar artery
inferior subscapular nerve nucleus of spinal cord,peripheral nerve nucleus
Mandi disease,osteonecrosis
costal surface of body of left scapula,costal surface of body of scapula
tendon of left levator scapulae,tendon of levator scapulae
costal pleura,region of parietal pleura
branch of left fifth intercostal nerve to left transversus thoracis,branch of fifth intercostal nerve to transversus thoracis
segment of trunk of internal carotid artery,segment of arterial trunk
prostatic part of inferior gluteal artery,subdivision of inferior gluteal artery
internal granular layer of right Brodmann area 48,internal granular layer of Brodmann area 48
stromal tumor,stromal neoplasm or complex mixed neoplasm
transverse branch of meningeal branch of eleventh thoracic nerve,transverse branch of meningeal branch of thoracic nerve
gray communicating ramus of sacral nerve,gray communicating ramus
Von Rosen view,named imaging view
nerve to left vocalis,nerve to vocalis
head of first dorsal interosseous of right hand,head of first dorsal interosseous of hand
dento-alveolar joint,fibrous joint
right posterior antebrachial cutaneous nerve,posterior antebrachial cutaneous nerve
trunk of communicating branch of buccal branch of left facial nerve with left buccal nerve,trunk of communicating branch of buccal branch of facial nerve with buccal nerve
left inferior macular artery,inferior macular artery
l5 segment of right nucleus proprius of spinal cord,l5 segment of nucleus proprius of spinal cord
inferior part proper of body of scapula,zone of inferior part of body of scapula
caseating,composition descriptor
right oculomotor nerve tract,central part of oculomotor nerve
androgen ablation therapy,ablation
subdivision of lateral vestibular nucleus,vestibular nucleus
gray matter of orbitobasal segment of right frontal lobe,gray matter of orbitobasal segment of frontal lobe
muscle body of left rhomboid minor,muscle body of rhomboid minor
internal surface of posterior wall of transverse colon,internal surface of region of wall of large intestine
superior subscapular nerve nucleus of left dorsal column,superior subscapular nerve nucleus of dorsal column
ReqConsult,workflow term
diffusion tensor imaging,magnetic resonance imaging
serosa of left hemiliver,serosa of zone of liver
inferior subscapular nerve component of posterior root of right fifth cervical nerve,inferior subscapular nerve component of posterior root of fifth cervical nerve
anteroinferior popliteomeniscal fascicle,popliteomeniscal fascicle
lesion rim or capsule,lesion characteristic
nucleus of pretectum,nucleus of brain
zone of right coronary artery,zone of coronary artery
surface of muscle organ,surface of organ
trunk of pharyngeal branch of left vagus nerve to pharyngeal nerve plexus,trunk of pharyngeal branch of vagus nerve to pharyngeal nerve plexus
RID34157,Obsolete Radlex Term
trunk of lower deep buccal branch of right facial nerve,trunk of lower deep buccal branch of facial nerve
displaced gas,displaced substance
head of right hippocampus,head of hippocampus
medial palmar branch of left ulnar nerve,medial palmar branch of ulnar nerve
patellar retinaculum,ligament of knee joint
segment of superior subscapular nerve nucleus of spinal cord,segment of peripheral nerve nucleus
trunk of branch of genitofemoral nerve,trunk of branch of lumbar nerve plexus
RID38767,Obsolete Radlex Term
consolidation,displaced substance
mucosa of left superior minor calyx,mucosa of superior minor calyx
c6 root of right superior subscapular nerve,c6 root of superior subscapular nerve
internal pyramidal lamina of right Brodmann area 9,internal pyramidal layer of Brodmann area 9
superomedial border of left cerebral hemisphere,superomedial border of cerebral hemisphere
palmar ligament of intermetacarpal joint,ligament of intermetacarpal joint
trunk of branch of hypoglossal nerve to thyrohyoid,trunk of muscular branch of hypoglossal nerve
superior notch segment of trunk of right suprascapular nerve,superior notch segment of trunk of suprascapular nerve
trunk proper of anterior ramus of right first thoracic nerve,trunk proper of anterior ramus of first thoracic nerve
posterior branch of posteromedial central branch of right posterior communicating artery,posterior branch of posteromedial central branch of posterior communicating artery
c8 root of ulnar nerve,segment of root of ulnar nerve
prostatic lymphatic tree,anodal lymphatic tree
superficial layer of deep cervical fascia,region of cervical fascia
coronary ligament,mesentery
gray matter of right inferior transverse frontopolar gyrus,gray matter of inferior transverse frontopolar gyrus
trunk of communicating branch of left external laryngeal nerve with left superior cardiac nerve,trunk of communicating branch of external laryngeal nerve with superior cardiac nerve
surface of right psoas major,surface of psoas major
pie-in-the-sky bladder,imaging sign
right mediastinal artery,mediastinal branch of internal thoracic artery
peripheral vascular disease,vascular disease
superior trunk segment of fifth cervical nerve,segment of trunk of anterior ramus of fifth cervical nerve
lumen of sigmoid colon,lumen of segment of colon
trunk of lingual branch of right lingual nerve,trunk of lingual branch of lingual nerve
Y-90 ibitumomab tiuxetan,radiopharmaceutical
teratoma,non-seminomatous germ cell tumor
RID7900,Obsolete Radlex Term
articular cartilage of medial facet of right patella,articular cartilage of medial condylar facet of patella
right peritrigeminal nucleus,peritrigeminal nucleus
RID12296,Obsolete Radlex Term
median umbilical fold,umbilical fold
dorsal tegmental decussation,decussation of neuraxis
interalveolar septa of mandible,set of region of organ component of bone
right preolivary nucleus,preolivary nucleus
free limb,limb region
trunk of third cervical nerve,trunk of cervical nerve
adventitia of right anterior intermediate minor calyx,adventitia of anterior intermediate minor calyx
emulsion containing corn oil and ferric ammonium citrate,combination of oil emulsion and paramagnetic substance
root of right genitofemoral nerve,root of genitofemoral nerve
nerve to right ceratocricoid,nerve to ceratocricoid
trunk of lingual nerve,trunk of branch of mandibular nerve
medial head of second dorsal interosseous of hand,head of second dorsal interosseous of hand
molar salivary gland,minor salivary gland
trunk proper of left axillary nerve,trunk proper of axillary nerve
right anterior pararenal space,anterior pararenal space
branch of left long posterior ciliary artery to major circulus arteriosus of left iris,branch of long posterior ciliary artery to major circulus arteriosus of iris
anterior thalamoperforating artery,thalamoperforating artery
gray communicating ramus of right fourth sacral nerve,gray communicating ramus of fourth sacral nerve
posteroventral cochlear nucleus,cochlear nucleus
junction of body parts,zone of continuity
distal tendon of extensor digitorum longus to left second toe,distal tendon of extensor digitorum longus to second toe
posterior surface of uterus,region of surface of uterus
muscle body of right supraspinatus,muscle body of supraspinatus
lateral sacral lymphatic vessel,sacral lymphatic vessel
peripheral segment of right femoral nerve,peripheral segment of femoral nerve
taenia coli,subdivision of muscle layer
umbilical prevesical fascia,zone of dense endoabdominal fascia
pallidohabenular bundle,segment of white matter of neuraxis
leukocytoclastic vasculitis,arteritis
left lateral orbital gyrus,lateral orbital gyrus
retroglandular,anatomically-related descriptor
linea quadrata,anatomical line of femur
set of dorsal rami of sacral nerves and coccygeal nerve,set of dorsal rami of spinal nerve
left thoracodorsal nerve,thoracodorsal nerve
thoracic vertebral column,subdivision of vertebral column
anterior root of right third thoracic nerve,anterior root of third thoracic nerve
induseum griseum,segment of hippocampal formation
postganglionic segment of posterior root of left fifth thoracic spinal nerve,postganglionic segment of posterior root of fifth thoracic spinal nerve
dura mater of posterior rootlet of left fourth thoracic nerve,dura mater of posterior rootlet of fourth thoracic nerve
representativeness,teaching descriptor
RID12530,Obsolete Radlex Term
tendon of right iliocostalis lumborum,tendon of iliocostalis lumborum
single plane,anatomical plane
nerve to right procerus,nerve to procerus
perirenal fat capsule,adipose tissue
internal granular layer of left Brodmann area 3,internal granular layer of Brodmann area 3
crest of spine of scapula,subdivision of spine of scapula
semicircular duct,subdivision of vestibular labyrinth
upper uterine segment,zone of uterus
brodmann area 2 of inferior parietal lobule,segment of Brodmann area 2
plexiform layer of right Brodmann area 37,plexiform layer of Brodmann area 37
intrabiliary,anatomically-related descriptor
lumen of left posterior inferior minor calyx,lumen of posterior inferior minor calyx
set of organ regions,set of organ parts
c3 root of left ansa cervicalis,c3 root of ansa cervicalis
internal granular layer of Brodmann area 36,lamina of Brodmann area 36
hydatidiform mole,gestational trophoblastic tumor
nasolacrimal duct,segment of lacrimal duct
left Brodmann area 50,brodmann area 50
branch of masseteric nerve,branch of mandibular nerve
longitudinal pontine fiber,nerve fiber
posterior root of right first lumbar nerve,posterior root of first lumbar nerve
nerve to right seventh interspinalis cervicis,nerve to seventh interspinalis cervicis
spinal tributary of left third lumbar vein,spinal tributary of third lumbar vein
subdivision of osseous skeleton,set of bone organs
arthritis mutilans,rheumatoid arthritis
spine of left scapula,spine of scapula
RID35113,Obsolete Radlex Term
needle tip,portion of medical device
scatter artifact,artifact
median nerve component of middle trunk segment of right seventh cervical nerve,median nerve component of middle trunk segment of seventh cervical nerve
accessory cephalic vein,tributary of cephalic vein
nerve to right seventh levator costae,nerve to seventh levator costae
neural network of anterior body wall,neural network of cardinal body part subdivision
median nerve component of ventral root of C7 nerve,segment of lateral root of median nerve
latissimus dorsi muscle,superficial extrinsic muscle of shoulder
subdivision of anterior zone of base of patella,zone of base of patella
internal granular layer of left Brodmann area 44,internal granular layer of Brodmann area 44
left fourth interspinalis cervicis,fourth interspinalis cervicis
c4 branch to left splenius cervicis,c4 branch to splenius cervicis
RID6089,Obsolete Radlex Term
right pre-optic artery,pre-optic artery
genitourinary system,organ system cluster
ligament cluster,heterogeneous anatomical cluster
optic disc,region of optic part of retina
internal pyramidal layer of Brodmann area 37,lamina of Brodmann area 37
lacrimal branch of left infratrochlear nerve,lacrimal branch of infratrochlear nerve
cecal surface of ileocecal valve,region of surface of ileocecal valve
postganglionic segment of posterior root of right ninth thoracic spinal nerve,postganglionic segment of posterior root of ninth thoracic spinal nerve
trunk of left superior gluteal nerve,trunk of superior gluteal nerve
c7 root of thoracodorsal nerve,segment of root of thoracodorsal nerve
plexiform layer of left Brodmann area 9,plexiform layer of Brodmann area 9
solid carcinoma,carcinoma
XR-RF,combined modalities
head of organ,organ zone
RID12854,RID12844
skin of posterior part of ankle,subdivision of skin of free lower limb
trunk of vein,segment of venous tree organ
screen-film radiography,projection radiography
trunk of branch of first thoracic nerve,trunk of branch of thoracic nerve
transverse branch of meningeal branch of right seventh thoracic nerve,transverse branch of meningeal branch of seventh thoracic nerve
right dorsal column-medial leminscal pathway structure,dorsal column-medial lemniscal pathway structure
lateral branch of anterior cutaneous branch of eighth intercostal nerve,lateral branch of anterior cutaneous branch of intercostal nerve
mammillary princeps fasciculus,tract of diencephalon
lateral dorsal digital branch of ulnar nerve to left little finger,lateral dorsal digital branch of ulnar nerve to little finger
trunk of first lumbrical branch of medial plantar nerve,trunk of muscular branch of medial plantar nerve
nerve to abductor digiti minimi of foot,branch of lateral plantar nerve
distal segment of medial root of right median nerve,peripheral segment of medial root of median nerve
trunk of right dorsal nerve of penis,trunk of dorsal nerve of penis
synovial joint of free limb segment,synovial joint
negative bowel contrast,bowel contrast
nerve to left eighth levator costae,nerve to eighth levator costae
skin of lateral part of right leg,skin of lateral part of leg
PET-MR,combined modalities
medial longitudinal stria,stria of telencephalon
trunk of right subclavian nerve,trunk of subclavian nerve
RID34583,congenital cardiovascular malformation
lateral branch of anterior cutaneous branch of right fourth intercostal nerve,lateral branch of anterior cutaneous branch of fourth intercostal nerve
t6 segment of right cuneate fasciculus of spinal cord,t6 segment of cuneate fasciculus of spinal cord
rootlet of first lumbar nerve,rootlet of lumbar nerve
external granular layer of Brodmann area 4,lamina of Brodmann area 4
c6 segment of dorsal gray column of spinal cord,cervical subsegment of dorsal gray column of spinal cord
distal epiphysis of middle phalanx of right little finger,distal epiphysis of middle phalanx of little finger
hemiarthroplasty,arthroplasty
wall of cardiac chamber,region of wall of heart
nerve to left abductor pollicis longus,nerve to abductor pollicis longus
inner granular layer of left dentate gyrus,inner granular layer of dentate gyrus
right lateral femoral cutaneous nerve,lateral femoral cutaneous nerve
membranous part of nasal septum,membranous layer
tendon of transverse muscle of right auricle,tendon of transverse muscle of auricle
cocktail sausage sign,imaging sign
neck of gallbladder,zone of gallbladder
t1 nucleus of right ventral column for medial cutaneous nerve of right forearm,t1 nucleus of ventral column for medial cutaneous nerve of forearm
white matter of occipital pole,segment of cerebral white matter
osteosarcoma in Paget disease of bone,osteosarcoma
tissue composition,composition
left fourth lateral lumbar intertransversarius,fourth lateral lumbar intertransversarius
trunk of pre-brachial plexus segment of C5 component of median nerve,segment of lateral root of median nerve
brodmann area 45 of left inferior frontal gyrus,brodmann area 45 of inferior frontal gyrus
external longitudinal muscle layer of ampulla of right uterine tube,external longitudinal muscle layer of ampulla of uterine tube
tendon of left semispinalis cervicis,tendon of semispinalis cervicis
extramural,anatomically-related descriptor
sphenomaxillary suture,cranial suture
cervical ganglion,paravertebral ganglion
c6 branch to left spinalis capitis,c6 branch to spinalis capitis
right gastric lymph node,gastric lymph node
ependyma of ventricular system of brain,ependyma of region of ventricular system of neuraxis
medial lemniscus of pons,lemniscus of neuraxis
ulcer,mechanical disorder
anaplastic oligoastrocytoma,mixed glioma
trunk of extensor digitorum brevis branch of lateral terminal branch of left deep fibular nerve,trunk of extensor digitorum brevis branch of lateral terminal branch of deep fibular nerve
inferior rectal lymph node,visceral lymph node of abdomen proper
interganglionic branch of superior cervical ganglion to middle cervical ganglion,branch of superior cervical ganglion
intraductal calcifications,calcifications
right inferior temporal gyrus,inferior temporal gyrus
esophageal plexus,autonomic nerve plexus
proximal segment of C5 root of right lateral pectoral nerve,proximal segment of C5 root of lateral pectoral nerve
first lateral lumbar intertransversarius,lateral lumbar intertransversarius
first cervical spinal ganglion,cervical spinal ganglion
left superior intercostal vein,subdivision of superior vena caval tree
c2 branch to longus capitis,branch of anterior ramus of second cervical nerve
distal intestinal obstruction syndrome,intestinal disorder
preganglionic segment of posterior root of left fourth cervical spinal nerve,preganglionic segment of posterior root of fourth cervical spinal nerve
nerve to infraspinatus muscle (2),nerve to infraspinatus muscle
lumen of fundus of urinary bladder,lumen of zone of urinary bladder
hepatic biliary tree,segment of biliary tree
branch of medial occipital artery,branch of posterior cerebral artery
branch of left buccal nerve to gingiva,branch of buccal nerve to gingiva
lumen of right posterior superior minor calyx,lumen of posterior superior minor calyx
lateral tributary of dorsal tributary of left first lumbar vein,lateral tributary of dorsal tributary of first lumbar vein
flattened,morphologic descriptor
supramarginal gyrus,segment of inferior parietal lobule
set of thoracic lymph nodes,lymph node group
neuronal component of white matter of S5 segment,neuronal component of white matter of sacral subsegment of spinal cord
stomach surgery,gastrointestinal surgery
prepancreatic artery,pancreatic artery
postganglionic segment of posterior root of right third cervical spinal nerve,postganglionic segment of posterior root of third cervical spinal nerve
proximal segment of C7 root of left median nerve,proximal segment of C7 root of median nerve
submandibular and submental lymph node,lymph node
anterior sulcus sign,imaging sign
hypoplastic left heart syndrome,congenital cardiovascular malformation
PatientRequiresSedation,delay code
c5 root of phrenic nerve,root of phrenic nerve
comet sign,imaging sign
central canal proper of spinal cord,region of ventricular system of neuraxis
device descriptor,Radlex descriptor
external longitudinal layer of muscularis mucosae of small intestine,muscle layer of zone of small intestine
nerve to right eleventh thoracic rotator,nerve to eleventh thoracic rotator
nerve to right temporoparietalis,nerve to temporoparietalis
lateral pectoral nerve component of anterior root of right fifth cervical nerve,lateral pectoral nerve component of anterior root of fifth cervical nerve
sebum,portion of body fluid suspension
posterior ramus of right ninth thoracic nerve,posterior ramus of ninth thoracic nerve
plexiform layer of Brodmann area 44,lamina of Brodmann area 44
branch of median nerve to first lumbrical of hand,branch of median nerve to lumbrical of hand
neural network of cardiac septum,neural network of heart
trunk of inferior branch of left transverse cervical nerve,trunk of inferior branch of transverse cervical nerve
purkinje cell layer of cerebellar cortex,gray matter layer of cerebellum
dura mater of anterior rootlet of left first thoracic nerve,dura mater of anterior rootlet of first thoracic nerve
spectral Doppler mode,Doppler mode
anterior orbital gyrus,orbital gyrus
apparent diffusion coefficient map,diffusion-weighted image reconstruction
mild sedation,sedation depth
all,quantity descriptor
right interventricular foramen,segment of ventricular system of brain
muscle layer of jejunum,muscle layer of zone of small intestine
RID38134,Obsolete Radlex Term
c5 ventral column nucleus of inferior subscapular nerve,segment of inferior subscapular nerve nucleus of ventral column
pelvic kidney,ectopic kidney
subscapularis branch of inferior subscapular nerve,branch of inferior subscapular nerve
neural network of left fourth metatarsal bone,neural network of fourth metatarsal bone
internal circular muscle layer of infundibulum of uterine tube,muscle layer of region of uterine tube
dura mater of anterior rootlet of right sixth cervical nerve,dura mater of anterior rootlet of sixth cervical nerve
orbital cortex,region of cerebral cortex
interventional procedure attribute,imaging procedure property
tendon of stapedius,tendon
ethmoid bone,pneumatized bone
posterior root of eleventh thoracic nerve,posterior root of thoracic nerve
lateral tributary of dorsal tributary of right lumbar vein,lateral tributary of dorsal tributary of lumbar vein
gray matter of posterior lobule of left insula,gray matter of posterior lobule of insula
diaphysis proper of third metacarpal bone,diaphysis proper of metacarpal bone
galactography,imaging procedure
trunk of ganglionic branch of right lingual nerve to right sublingual ganglion,trunk of ganglionic branch of lingual nerve to sublingual ganglion
left inferior anastomotic vein,vein of Trolard
superficial palmar branch of radial artery,branch of radial artery
sandwich vertebrae,imaging sign
region of external surface of kidney,region of surface of kidney
right acromion,acromion
anterior compartment of right thigh,anterior compartment of thigh
obliquus capitis superior,posterior suboccipital muscle
triangular interval,anatomic space of shoulder girdle
common temporal artery,branch of posterior cerebral artery
abductor hallucis muscle,skeletal muscle of plantar foot
anatomical line of femur,anatomical line of long bone
branch of left tenth intercostal nerve to left external oblique,branch of tenth intercostal nerve to external oblique
lesser palatine nerve,branch of maxillary nerve
left anterodorsal nucleus,anterodorsal nucleus
respiratory broncholitis associated interstitial lung disease,bronchiolitis
ameloblastic fibrosarcoma,odontogenic tumor
T6 vertebral body,thoracic vertebral body
suprascapular nerve component of posterior root of left fifth cervical nerve,suprascapular nerve component of posterior root of fifth cervical nerve
right medial motor nucleus of spinal cord,medial motor nucleus of spinal cord
postembolization syndrome,side effect
neural network of muscle organ,neural network of organ
non-uniformity in real images,non-uniform signal intensity artifact
area of insertion of left anterior cruciate ligament,area of insertion of anterior cruciate ligament
